invoice_credit_ratio,prev_late_rate,amount_vs_industry_median,daily_obligation,is_high_utilisation,is_repeat_offender,is_clean_record,is_first_time_client,is_long_term_client,is_high_risk_industry,is_mega_invoice,is_Q4_due,is_dashain_season,is_vat_filing_month,invoice_quarter,due_quarter,days_to_fy_end,due_on_weekend,industry_target_enc,tenure_band,amount_band_ord,utilisation_x_history,risk_x_amount,q4_x_late_history,manual_risk_score,client_total_invoices,client_avg_invoice,client_avg_delay,client_late_rate,client_late_count,Invoice_Amount,Tenure_Years,Prev_Late_Count,Credit_Days,Invoice_ID,Client_ID,Client_Name,Industry,Province,Is_Late
0.2541,0.0,1.582,38533.0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0.2708,1,2,0.0,0.31304479999999996,0,0.105,7,891000.0,27.71,0.14,1,1156000,1.19,0,30,HAA-00015,NP0104,Nepal Cement Udyog,Manufacturing,Karnali,0
0.6372,0.2,1.522,24711.0,0,0,0,0,0,0,0,0,0,0,2,3,154,0,0.2708,2,2,0.6372,0.3011296,0,0.2516,9,834333.33,49.67,0.33,3,1112000,4.1,1,45,HAA-00016,NP0152,Nepal Cement Udyog,Manufacturing,Karnali,1
0.2778,0.4,0.611,35633.0,0,0,0,0,1,0,0,0,0,0,3,3,149,1,0.1917,3,2,0.5556,0.2049273,0,0.2339,6,592666.67,26.5,0.17,1,1069000,6.63,2,30,HAA-00017,NP0131,Upper Karnali Hydro Pvt. Ltd.,Hydropower,Madhesh,0
0.2958,0.2,0.436,3800.0,0,0,0,0,1,0,0,0,0,1,3,3,111,0,0.1977,3,1,0.2958,0.0338067,0,0.1687,2,282500.0,49.5,0.5,1,171000,8.48,1,45,HAA-00018,NP0150,Nepal Data Solutions,Services & IT,Koshi,1
0.4826,0.4,1.147,27300.0,0,0,0,0,1,1,0,0,0,1,4,1,0,0,0.3615,2,2,0.9652,0.29606849999999996,0,0.3088,8,489250.0,68.0,0.75,6,819000,5.53,2,30,HAA-00019,NP0053,Himalayan Traders Pvt. Ltd.,Trading & Import,Bagmati,0
0.257,0.2,0.918,35667.0,0,0,0,0,1,0,1,0,0,1,4,1,6,0,0.1917,3,2,0.257,0.3076785,0,0.1597,5,662400.0,25.8,0.2,1,1605000,7.8,1,45,HAA-00020,NP0002,Tamor Power Pvt. Ltd.,Hydropower,Sudurpashchim,0
0.5347,0.2,0.423,12333.0,0,0,0,0,1,0,0,0,1,0,1,2,242,0,0.1917,3,2,0.5347,0.141858,0,0.2153,3,1109333.33,9.67,0.0,0,740000,7.45,1,60,HAA-00021,NP0088,Seti River Power Co.,Hydropower,Bagmati,0
0.3126,0.2,1.223,19400.0,0,0,0,0,0,1,0,0,0,0,2,3,160,0,0.3615,1,2,0.3126,0.31558949999999997,0,0.2048,4,632500.0,60.75,0.5,2,873000,1.77,1,45,HAA-00022,NP0158,Annapurna Merchandise Pvt. Ltd.,Trading & Import,Madhesh,1
0.4849,0.4,1.956,10417.0,0,0,0,0,0,1,0,0,0,1,3,3,135,1,0.4259,2,2,0.9698,0.2661875,0,0.3222,4,548500.0,10.75,0.0,0,625000,4.5,2,60,HAA-00023,NP0038,Pokhara Resort & Spa,Tourism & Hotels,Sudurpashchim,0
0.3878,0.4,1.242,29150.0,0,0,0,0,0,1,1,1,0,1,4,4,16,1,0.4579,1,2,0.7756,0.8008671,2,0.4091,7,1051285.71,35.0,0.29,2,1749000,1.27,2,60,HAA-00024,NP0130,Bhaktapur Builders,Construction,Lumbini,1
0.3032,0.8,1.502,16000.0,0,1,0,0,1,1,0,0,0,1,3,3,114,1,0.4259,3,1,1.2128,0.204432,0,0.4258,7,629857.14,76.86,0.86,6,480000,6.22,4,30,HAA-00025,NP0192,Lumbini Hospitality Pvt. Ltd.,Tourism & Hotels,Madhesh,1
0.3438,0.8,1.637,25978.0,0,1,0,0,1,1,0,1,0,1,3,4,81,0,0.3615,3,2,1.3752,0.4225935,4,0.5211,6,696666.67,47.33,0.5,3,1169000,8.56,4,45,HAA-00026,NP0188,Himalayan Traders Pvt. Ltd.,Trading & Import,Koshi,0
0.3893,0.4,0.461,13450.0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.1917,1,2,0.7786,0.15470190000000003,0,0.2562,6,926666.67,46.0,0.33,2,807000,1.45,2,60,HAA-00027,NP0021,Upper Karnali Hydro Pvt. Ltd.,Hydropower,Bagmati,1
0.4318,0.4,1.034,24600.0,0,0,0,0,1,1,0,0,0,1,1,1,307,0,0.3615,3,2,0.8636,0.266787,0,0.2987,11,1313545.45,69.09,0.64,7,738000,6.67,2,30,HAA-00028,NP0161,Everest Imports Pvt. Ltd.,Trading & Import,Lumbini,0
0.2778,0.2,1.75,22900.0,0,0,0,0,1,0,0,0,1,0,2,2,253,0,0.1977,2,2,0.2778,0.1358199,0,0.1651,9,710222.22,52.78,0.33,3,687000,5.78,1,30,HAA-00029,NP0058,CloudNepal Pvt. Ltd.,Services & IT,Bagmati,0
0.538,0.4,0.406,4833.0,0,0,0,0,1,1,0,0,0,0,2,3,156,1,0.3615,2,1,1.076,0.10483499999999998,0,0.3199,3,696000.0,73.0,0.67,2,290000,5.36,2,60,HAA-00030,NP0022,Annapurna Merchandise Pvt. Ltd.,Trading & Import,Gandaki,1
0.3883,0.6,1.461,23711.0,0,1,0,0,0,0,0,0,0,1,2,3,193,0,0.2708,2,2,1.1648999999999998,0.28894359999999997,0,0.3418,4,909000.0,29.5,0.25,1,1067000,3.66,3,45,HAA-00031,NP0089,Biratnagar Textile Mills,Manufacturing,Bagmati,0
0.2661,0.0,1.032,8700.0,0,0,1,0,0,1,0,0,0,0,1,1,327,0,0.2553,2,1,0.0,0.0666333,0,0.1043,4,1023250.0,10.5,0.0,0,261000,3.36,0,30,HAA-00032,NP0049,Nepal Spices Pvt. Ltd.,Agriculture,Gandaki,0
0.2766,0.2,1.251,30467.0,0,0,0,0,0,0,0,0,0,1,1,1,301,0,0.2708,0,2,0.2766,0.2475112,0,0.1795,3,834666.67,12.67,0.0,0,914000,0.65,1,30,HAA-00033,NP0059,Butwal Steel Industries,Manufacturing,Madhesh,0
0.3995,0.0,1.292,11267.0,0,0,1,0,0,0,0,1,0,0,3,4,71,0,0.1977,1,2,0.0,0.1002339,0,0.2194,5,474200.0,92.4,0.8,4,507000,2.16,0,45,HAA-00034,NP0170,CloudNepal Pvt. Ltd.,Services & IT,Karnali,0
0.2935,0.4,1.605,25467.0,0,0,0,1,0,1,0,0,0,1,4,1,0,0,0.3615,0,2,0.587,0.41427899999999995,0,0.371,6,696666.67,47.33,0.5,3,1146000,0.38,2,45,HAA-00035,NP0188,Nepal Trade House,Trading & Import,Bagmati,1
0.2811,0.6,1.295,40511.0,0,1,0,0,1,1,1,0,0,1,3,3,132,0,0.4579,2,2,0.8433,0.8347517,0,0.3578,6,872833.33,61.33,0.5,3,1823000,5.34,3,45,HAA-00036,NP0015,Pokhara Construction Co.,Construction,Lumbini,1
0.2687,0.2,0.275,4467.0,0,0,0,0,0,0,0,0,0,1,3,3,123,0,0.2708,1,1,0.2687,0.0544308,0,0.1779,13,810153.85,39.08,0.31,4,201000,1.18,1,45,HAA-00037,NP0190,Butwal Steel Industries,Manufacturing,Gandaki,1
0.3495,0.8,1.398,43756.0,0,1,0,0,1,1,1,0,0,1,2,2,226,1,0.4579,3,2,1.398,0.9016050999999999,0,0.4415,13,810153.85,39.08,0.31,4,1969000,7.89,4,45,HAA-00038,NP0190,Nepal Infrastructure Pvt. Ltd.,Construction,Karnali,1
0.4972,0.2,0.501,7956.0,0,0,0,0,0,1,0,1,0,1,4,4,39,0,0.3615,2,1,0.4972,0.12941699999999998,1,0.3417,4,1173000.0,40.0,0.25,1,358000,4.83,1,45,HAA-00039,NP0175,Nepal Trade House,Trading & Import,Gandaki,1
0.4676,0.6,0.738,11711.0,0,1,0,0,1,1,0,1,0,0,4,4,45,1,0.3615,3,2,1.4028,0.1905105,3,0.4758,13,810153.85,39.08,0.31,4,527000,6.37,3,45,HAA-00040,NP0190,Annapurna Merchandise Pvt. Ltd.,Trading & Import,Koshi,0
0.4465,0.2,0.871,13822.0,0,0,0,0,0,1,0,1,0,1,3,4,105,0,0.3615,2,2,0.4465,0.224853,1,0.3316,7,725428.57,34.86,0.29,2,622000,3.84,1,45,HAA-00041,NP0051,Nepal Trade House,Trading & Import,Sudurpashchim,0
0.3351,0.4,0.849,26556.0,0,0,0,0,1,1,0,0,1,0,2,2,242,0,0.4579,2,2,0.6702,0.5471905,0,0.2986,4,896750.0,101.25,0.75,3,1195000,5.16,2,45,HAA-00042,NP0108,Bhaktapur Builders,Construction,Gandaki,1
0.6323,0.2,0.823,14100.0,0,0,0,0,1,0,0,0,0,1,1,1,299,0,0.12,3,1,0.6323,0.05076,0,0.2205,3,420333.33,11.33,0.0,0,423000,8.5,1,30,HAA-00043,NP0055,NMB Finance,Banking & Finance,Sudurpashchim,0
0.3236,0.2,1.523,71500.0,0,0,0,0,0,1,1,0,0,1,1,1,311,1,0.4579,0,3,0.3236,0.9821955,0,0.2263,1,2145000.0,10.0,0.0,0,2145000,0.97,1,30,HAA-00044,NP0064,Bhaktapur Builders,Construction,Sudurpashchim,0
0.4148,0.2,1.255,14933.0,0,0,0,0,0,1,0,1,0,1,3,4,88,0,0.3615,1,2,0.4148,0.32390399999999997,1,0.3253,6,592666.67,26.5,0.17,1,896000,2.47,1,60,HAA-00045,NP0131,Annapurna Merchandise Pvt. Ltd.,Trading & Import,Sudurpashchim,0
0.447,0.6,1.182,15467.0,0,1,0,0,1,0,0,1,0,1,4,4,33,0,0.1977,3,1,1.341,0.0917328,3,0.4389,7,725428.57,34.86,0.29,2,464000,7.07,3,30,HAA-00046,NP0051,Nepal Data Solutions,Services & IT,Bagmati,0
0.2704,0.2,0.224,13033.0,0,0,0,0,0,0,0,1,0,1,4,4,21,0,0.1917,1,1,0.2704,0.07495470000000001,1,0.2624,5,929600.0,7.6,0.0,0,391000,1.11,1,30,HAA-00047,NP0135,Marsyangdi Energy Pvt. Ltd.,Hydropower,Gandaki,0
0.3774,0.8,1.552,90467.0,0,1,0,0,0,0,1,0,0,1,3,3,165,0,0.1917,0,3,1.5096,0.5202738,0,0.3938,6,926666.67,46.0,0.33,2,2714000,0.91,4,30,HAA-00048,NP0021,Upper Karnali Hydro Pvt. Ltd.,Hydropower,Madhesh,0
0.5755,0.6,1.574,18733.0,0,1,0,0,0,1,0,1,0,1,4,4,18,0,0.3615,2,2,1.7265000000000001,0.406326,3,0.4974,1,1124000.0,132.0,1.0,1,1124000,3.41,3,60,HAA-00049,NP0073,Himalayan Traders Pvt. Ltd.,Trading & Import,Gandaki,1
0.2803,0.6,1.291,60600.0,0,1,0,0,0,1,1,0,0,1,4,1,0,1,0.4579,1,2,0.8409,0.8324621999999999,0,0.3576,4,1161750.0,59.5,0.5,2,1818000,1.06,3,30,HAA-00050,NP0167,Nepal Infrastructure Pvt. Ltd.,Construction,Lumbini,1
0.6175,0.0,0.158,3767.0,0,0,1,0,1,1,0,0,1,0,2,2,234,1,0.3615,2,1,0.0,0.0408495,0,0.1958,2,278000.0,58.5,0.5,1,113000,5.37,0,30,HAA-00051,NP0018,Nepal Trade House,Trading & Import,Bagmati,0
0.3016,0.2,0.278,6767.0,0,0,0,0,0,0,0,0,0,1,2,3,189,0,0.2708,1,1,0.3016,0.0549724,0,0.1845,5,808000.0,56.4,0.4,2,203000,2.23,1,30,HAA-00052,NP0132,Hetauda Chemicals Pvt. Ltd.,Manufacturing,Bagmati,1
0.2911,0.0,0.496,5667.0,0,0,1,0,1,0,0,0,0,0,4,1,0,0,0.12,3,1,0.0,0.0306,0,0.0822,4,909000.0,29.5,0.25,1,255000,8.09,0,45,HAA-00053,NP0089,Goodwill Finance Co.,Banking & Finance,Gandaki,0
0.42,0.2,0.353,8400.0,0,0,0,0,1,1,0,0,0,1,2,2,211,0,0.3615,3,1,0.42,0.091098,0,0.2263,5,501400.0,7.4,0.0,0,252000,7.11,1,30,HAA-00054,NP0060,Nepal Trade House,Trading & Import,Lumbini,0
0.2807,0.0,0.906,22067.0,0,0,1,0,1,0,0,0,0,1,4,1,1,0,0.2708,3,2,0.0,0.1792696,0,0.1103,3,740666.67,45.67,0.33,1,662000,6.37,0,30,HAA-00055,NP0014,Biratnagar Textile Mills,Manufacturing,Gandaki,0
0.3585,0.4,1.594,37933.0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0.3615,2,2,0.717,0.41138699999999995,0,0.284,5,535200.0,49.2,0.4,2,1138000,5.65,2,30,HAA-00056,NP0009,Annapurna Merchandise Pvt. Ltd.,Trading & Import,Lumbini,0
0.3762,0.0,0.88,25650.0,0,0,1,0,1,0,1,1,0,0,3,4,63,0,0.1917,3,2,0.0,0.2950263,0,0.2136,9,613555.56,41.0,0.33,3,1539000,7.81,0,60,HAA-00057,NP0090,Marsyangdi Energy Pvt. Ltd.,Hydropower,Gandaki,0
0.62,0.2,0.194,2067.0,0,0,0,0,0,1,0,1,0,1,4,4,36,0,0.4259,1,0,0.62,0.0264058,1,0.3792,8,489250.0,68.0,0.75,6,62000,2.2,1,30,HAA-00058,NP0053,Thamel Tourism Pvt. Ltd.,Tourism & Hotels,Koshi,1
0.4495,0.2,0.585,34133.0,0,0,0,0,1,0,0,1,0,0,4,4,61,0,0.1917,3,2,0.4495,0.19630080000000003,1,0.2982,7,1051285.71,35.0,0.29,2,1024000,7.89,1,30,HAA-00059,NP0130,Seti River Power Co.,Hydropower,Lumbini,1
0.2612,0.0,0.255,4133.0,0,0,1,0,1,0,0,1,0,0,3,4,64,0,0.2708,3,1,0.0,0.0503688,0,0.2064,6,739333.33,8.33,0.0,0,186000,7.16,0,45,HAA-00060,NP0084,Hetauda Chemicals Pvt. Ltd.,Manufacturing,Gandaki,0
0.4032,0.4,0.235,1250.0,0,0,0,0,1,1,0,0,0,1,2,3,192,1,0.4259,3,0,0.8064,0.0319425,0,0.3058,7,800428.57,47.29,0.29,2,75000,6.8,2,60,HAA-00061,NP0092,Sagarmatha Trekking Co.,Tourism & Hotels,Gandaki,1
0.3488,0.2,0.68,11044.0,0,0,0,0,1,0,0,0,0,1,1,1,299,0,0.2708,2,1,0.3488,0.1345876,0,0.1939,5,587800.0,52.4,0.4,2,497000,5.16,1,45,HAA-00062,NP0111,Hetauda Chemicals Pvt. Ltd.,Manufacturing,Bagmati,0
0.3534,0.6,0.545,12800.0,0,1,0,0,0,1,0,0,0,1,2,3,179,0,0.4579,1,2,1.0602,0.3516672,0,0.3723,6,696666.67,47.33,0.5,3,768000,2.4,3,60,HAA-00063,NP0188,Pokhara Construction Co.,Construction,Gandaki,1
0.336,0.6,1.621,19733.0,0,1,0,0,0,0,0,1,0,0,3,4,61,0,0.2708,2,2,1.008,0.32062719999999995,3,0.4314,3,851666.67,10.0,0.0,0,1184000,3.96,3,60,HAA-00064,NP0199,Biratnagar Textile Mills,Manufacturing,Lumbini,0
0.6049,0.2,1.966,47867.0,0,0,0,0,1,0,0,0,0,1,1,1,297,1,0.2708,3,2,0.6049,0.38886879999999996,0,0.2451,5,587400.0,70.0,0.6,3,1436000,7.19,1,30,HAA-00065,NP0172,Biratnagar Textile Mills,Manufacturing,Gandaki,0
0.4158,0.2,0.856,13889.0,0,0,0,0,0,0,0,0,0,1,1,1,315,0,0.2708,0,2,0.4158,0.16924999999999998,0,0.2073,6,790666.67,26.17,0.17,1,625000,0.53,1,45,HAA-00066,NP0008,Nepal Cement Udyog,Manufacturing,Bagmati,0
0.3023,0.2,0.813,47400.0,0,0,0,0,1,0,0,0,1,1,1,2,284,0,0.1917,3,2,0.3023,0.2725974,0,0.1688,4,1173000.0,40.0,0.25,1,1422000,7.09,1,30,HAA-00067,NP0175,Marsyangdi Energy Pvt. Ltd.,Hydropower,Koshi,0
0.4996,0.4,1.46,56733.0,0,0,0,0,0,0,1,1,0,0,4,4,58,1,0.1917,1,3,0.9992,0.4894101,2,0.3783,5,1293200.0,5.8,0.0,0,2553000,2.35,2,45,HAA-00068,NP0035,Tamor Power Pvt. Ltd.,Hydropower,Bagmati,0
0.4979,0.4,0.591,7733.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.1977,1,1,0.9958,0.0458664,0,0.2791,5,626400.0,27.4,0.2,1,232000,1.51,2,30,HAA-00069,NP0081,Kathmandu Tech Hub,Services & IT,Sudurpashchim,0
0.6562,0.4,0.46,11200.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.2708,1,1,1.3124,0.0909888,0,0.3254,7,589714.29,68.86,0.71,5,336000,1.26,2,30,HAA-00070,NP0164,Biratnagar Textile Mills,Manufacturing,Bagmati,1
0.3856,0.4,1.485,17667.0,0,0,0,1,0,1,0,0,0,1,3,3,124,0,0.3615,0,2,0.7712,0.38319000000000003,0,0.3894,4,800750.0,72.25,0.75,3,1060000,0.49,2,60,HAA-00071,NP0050,Annapurna Merchandise Pvt. Ltd.,Trading & Import,Karnali,1
0.27,0.2,0.254,2700.0,0,0,0,0,0,1,0,1,0,1,4,4,17,1,0.4259,2,0,0.27,0.0344979,1,0.3092,7,891000.0,27.71,0.14,1,81000,4.83,1,30,HAA-00072,NP0104,Lumbini Hospitality Pvt. Ltd.,Tourism & Hotels,Gandaki,0
0.6137,0.0,1.11,32350.0,0,0,1,0,0,0,1,1,0,1,4,4,36,0,0.1917,1,2,0.0,0.3720897,0,0.2611,5,808000.0,56.4,0.4,2,1941000,2.16,0,60,HAA-00073,NP0132,Upper Karnali Hydro Pvt. Ltd.,Hydropower,Gandaki,0
0.5054,0.0,1.07,14000.0,0,0,1,0,1,0,0,0,0,0,3,3,152,0,0.1977,3,1,0.0,0.083034,0,0.1406,5,662400.0,25.8,0.2,1,420000,8.91,0,30,HAA-00074,NP0002,Digital Yatra Pvt. Ltd.,Services & IT,Bagmati,0
0.4397,0.8,0.689,16400.0,0,1,0,0,1,1,0,0,0,1,3,3,125,0,0.3615,2,1,1.7588,0.177858,0,0.4402,4,442500.0,54.75,0.5,2,492000,5.28,4,30,HAA-00075,NP0134,Everest Imports Pvt. Ltd.,Trading & Import,Bagmati,1
0.3003,0.4,0.641,7633.0,0,0,0,0,0,1,0,0,1,0,1,2,254,1,0.3615,1,1,0.6006,0.165567,0,0.2724,9,511888.89,40.67,0.33,3,458000,1.46,2,60,HAA-00076,NP0054,Nepal Trade House,Trading & Import,Bagmati,0
0.3224,0.4,1.346,52311.0,0,0,0,0,1,0,1,0,0,0,4,1,0,0,0.1917,3,3,0.6448,0.45126180000000005,0,0.2428,3,1257666.67,50.67,0.33,1,2354000,6.28,2,45,HAA-00077,NP0106,Upper Karnali Hydro Pvt. Ltd.,Hydropower,Bagmati,0
0.3939,0.4,0.326,2311.0,0,0,0,0,1,1,0,0,0,1,2,3,191,1,0.4259,3,1,0.7878,0.044293599999999995,0,0.304,4,1219250.0,61.75,0.5,2,104000,8.11,2,45,HAA-00078,NP0004,Sagarmatha Trekking Co.,Tourism & Hotels,Lumbini,1
0.2944,0.4,0.54,7067.0,0,0,0,0,1,0,0,0,0,1,2,3,172,0,0.1977,3,1,0.5888,0.041912399999999995,0,0.2384,9,511888.89,40.67,0.33,3,212000,6.77,2,30,HAA-00079,NP0054,Digital Yatra Pvt. Ltd.,Services & IT,Bagmati,1
0.3307,0.2,1.296,20556.0,0,0,0,0,0,1,0,1,0,0,3,4,74,0,0.3615,0,2,0.3307,0.3343875,1,0.3084,7,646714.29,54.14,0.43,3,925000,0.92,1,45,HAA-00080,NP0191,Nepal Trade House,Trading & Import,Koshi,1
0.2674,0.0,1.0,11422.0,0,0,1,0,1,0,0,0,0,1,2,2,198,1,0.12,3,2,0.0,0.06168,0,0.0775,5,720600.0,49.4,0.4,2,514000,8.09,0,45,HAA-00081,NP0146,Goodwill Finance Co.,Banking & Finance,Bagmati,0
0.2821,0.4,0.347,5511.0,0,0,0,0,1,1,0,0,1,0,2,2,227,1,0.3615,3,1,0.5642,0.089652,0,0.2687,4,562500.0,13.0,0.0,0,248000,7.2,2,45,HAA-00082,NP0044,Annapurna Merchandise Pvt. Ltd.,Trading & Import,Sudurpashchim,0
0.4691,0.2,1.519,26033.0,0,0,0,0,0,0,0,1,0,1,3,4,104,0,0.12,1,2,0.4691,0.09372,1,0.2878,4,1097250.0,40.5,0.5,2,781000,1.64,1,30,HAA-00083,NP0162,NMB Finance,Banking & Finance,Gandaki,0
0.4588,0.4,0.765,9100.0,0,0,0,0,0,1,0,0,0,1,1,1,295,0,0.3615,0,2,0.9176,0.197379,0,0.3041,13,810153.85,39.08,0.31,4,546000,0.7,2,60,HAA-00084,NP0190,Annapurna Merchandise Pvt. Ltd.,Trading & Import,Bagmati,0
0.5516,0.6,1.445,22933.0,0,1,0,0,1,1,0,1,0,0,4,4,56,0,0.3615,2,2,1.6547999999999998,0.373068,3,0.4926,3,740666.67,45.67,0.33,1,1032000,5.13,3,45,HAA-00085,NP0014,Everest Imports Pvt. Ltd.,Trading & Import,Gandaki,1
0.4269,0.8,1.302,30550.0,0,1,0,0,0,1,1,0,0,1,3,3,117,0,0.4579,1,2,1.7076,0.8393307,0,0.457,6,860000.0,45.67,0.33,2,1833000,1.62,4,60,HAA-00086,NP0095,Bhaktapur Builders,Construction,Bagmati,0
0.25,0.4,1.091,6133.0,0,0,0,0,1,1,0,1,0,1,3,4,98,0,0.2553,3,1,0.5,0.07046280000000002,2,0.3411,7,964571.43,37.57,0.29,2,276000,7.55,2,45,HAA-00087,NP0048,Nepal Spices Pvt. Ltd.,Agriculture,Bagmati,0
0.3979,0.2,0.958,8356.0,0,0,0,0,0,0,0,1,0,1,3,4,89,0,0.1977,2,1,0.3979,0.07433519999999999,1,0.2891,6,872833.33,61.33,0.5,3,376000,3.39,1,45,HAA-00088,NP0015,CloudNepal Pvt. Ltd.,Services & IT,Gandaki,0
0.4875,0.2,1.975,48100.0,0,0,0,0,1,0,0,0,0,0,3,3,142,1,0.2708,3,2,0.4875,0.3907644,0,0.2217,5,1188600.0,81.8,0.8,4,1443000,8.24,1,30,HAA-00089,NP0200,Biratnagar Textile Mills,Manufacturing,Lumbini,1
0.2937,0.4,0.39,5100.0,0,0,0,0,1,0,0,0,0,1,3,3,122,1,0.1977,2,1,0.5874,0.030248099999999997,0,0.2383,13,810153.85,39.08,0.31,4,153000,5.2,2,30,HAA-00090,NP0190,Digital Yatra Pvt. Ltd.,Services & IT,Sudurpashchim,0
0.3501,0.6,1.284,15283.0,0,1,0,0,0,1,0,1,0,0,3,4,55,0,0.3615,1,2,1.0503,0.3314955,3,0.4523,1,917000.0,16.0,0.0,0,917000,1.85,3,60,HAA-00091,NP0040,Everest Imports Pvt. Ltd.,Trading & Import,Gandaki,0
0.5343,0.4,0.431,3633.0,0,0,0,0,0,1,0,1,0,0,4,4,60,0,0.2553,1,1,1.0686,0.027827700000000004,2,0.3979,5,574400.0,23.8,0.2,1,109000,1.47,2,30,HAA-00092,NP0082,Terai Agro Industries,Agriculture,Karnali,1
