je_no,date,account_debit,account_credit,amount,narration,posted_by,approved_by
JE-1033,2081-09-06,5600,2400,437361,Routine posting,E008,E008
JE-1034,2081-09-10,1500,5200,145638,Routine posting,E005,E006
JE-1035,2081-06-17,5600,5700,428349,Routine posting,E001,E003
JE-1036,2081-11-12,5600,2200,118068,Routine posting,E005,E008
JE-1037,2081-12-24,2100,2400,120159,Routine posting,E006,E006
JE-1038,2081-04-16,5600,5500,401872,Routine posting,E007,E005
JE-1039,2081-09-09,5700,1100,252956,Routine posting,E007,E004
JE-1040,2081-11-09,5300,1100,226026,Routine posting,E002,E004
JE-1041,2082-03-16,4100,2300,365344,Routine posting,E008,E005
JE-1042,2081-11-15,5300,5500,430859,Routine posting,E002,E008
JE-1043,2082-02-04,1200,2200,366399,Routine posting,E008,E006
JE-1044,2082-02-18,3100,1510,106158,Routine posting,E008,E006
JE-1045,2081-05-03,1100,1200,294664,Routine posting,E005,E006
JE-1046,2082-01-27,1200,2300,368279,Routine posting,E003,E003
JE-1047,2081-06-09,3200,5500,498380,Routine posting,E003,E008
JE-1048,2081-06-06,2200,5400,232115,Routine posting,E004,E008
JE-1049,2081-05-20,1100,4100,242357,Routine posting,E008,E008
JE-1050,2081-12-07,5700,4200,495508,Routine posting,E005,E008
JE-1051,2082-01-20,4200,1200,107274,Routine posting,E003,E002
JE-1052,2081-12-23,3100,2100,172770,Routine posting,E002,E002
JE-1053,2081-06-26,5300,2400,382582,Routine posting,E006,E006
JE-1054,2081-07-01,3100,2200,297897,Routine posting,E004,E004
JE-1055,2081-12-28,5200,5100,397299,Routine posting,E005,E006
JE-1056,2082-02-13,5200,5700,192073,Routine posting,E003,E005
JE-1057,2081-11-15,5500,5700,82845,Routine posting,E008,E005
JE-1058,2081-11-09,5200,5700,324701,Routine posting,E003,E005
JE-1059,2081-06-29,4100,2200,465235,Routine posting,E005,E005
JE-1060,2082-02-18,5200,5600,227886,Routine posting,E003,E006
JE-1061,2081-08-05,2400,1510,382028,Routine posting,E001,E001
JE-1062,2081-12-31,5400,4100,155637,Routine posting,E007,E003
JE-1063,2082-01-27,3100,3100,300102,Routine posting,E001,E003
JE-1064,2082-01-31,5200,1500,177784,Routine posting,E003,E001
JE-1065,2081-05-26,5700,2400,283977,Routine posting,E002,E005
JE-1066,2081-07-10,4200,1510,485026,Routine posting,E005,E003
JE-1067,2082-02-16,5300,2200,10518,Routine posting,E002,E006
JE-1068,2081-08-27,2200,5700,475852,Routine posting,E001,E007
JE-1069,2081-08-26,5700,1100,324239,Routine posting,E001,E007
JE-1070,2081-07-18,1100,5500,331996,Routine posting,E001,E007
JE-1071,2081-11-17,2300,1300,47266,Routine posting,E002,E004
JE-1072,2082-01-13,2400,5600,278057,Routine posting,E003,E006
JE-1073,2081-10-11,5200,2100,437344,Routine posting,E004,E006
JE-1074,2081-07-14,1200,5200,234618,Routine posting,E002,E002
JE-1075,2081-08-21,1100,5500,317834,Routine posting,E002,E002
JE-1076,2081-07-03,3200,1200,380350,Routine posting,E007,E005
JE-1077,2081-05-21,1500,5700,29357,Routine posting,E007,E005
JE-1078,2081-05-26,5700,5200,406216,Routine posting,E003,E002
JE-1079,2081-05-07,5200,1100,52754,Routine posting,E001,E002
JE-9001,2082-03-31,5700,1100,1000000,Adjustment,E008,E008
JE-9002,2082-03-31,4100,1200,250000,Reversal,E004,
