date,sku,movement_type,qty,ref
2081-08-15,FG-302,TRANSFER,181,MV-03057
2081-07-25,RM-014,IN,94,MV-03058
2081-08-10,FG-302,IN,86,MV-03059
2082-03-04,RM-014,ADJUSTMENT,96,MV-03060
2081-11-19,CONS-09,IN,194,MV-03061
2081-05-27,FG-205,OUT,192,MV-03062
2081-09-03,RM-014,OUT,98,MV-03063
2081-07-10,FG-302,IN,189,MV-03064
2081-05-27,WIP-101,ADJUSTMENT,150,MV-03065
2081-05-06,WIP-101,IN,192,MV-03066
2081-04-28,FG-509,OUT,166,MV-03067
2082-01-09,RM-001,OUT,30,MV-03068
2081-11-25,RM-027,ADJUSTMENT,111,MV-03069
2081-10-23,FG-302,ADJUSTMENT,110,MV-03070
2081-05-28,FG-205,IN,144,MV-03071
2081-05-22,FG-302,TRANSFER,122,MV-03072
2081-07-24,RM-001,TRANSFER,177,MV-03073
2082-01-18,RM-001,OUT,73,MV-03074
2081-05-28,FG-302,OUT,60,MV-03075
2081-11-04,FG-118,ADJUSTMENT,79,MV-03076
2081-08-07,WIP-101,OUT,154,MV-03077
2081-05-29,CONS-09,ADJUSTMENT,199,MV-03078
2081-05-28,FG-509,IN,83,MV-03079
2081-09-28,CONS-09,OUT,159,MV-03080
2082-02-01,WIP-101,TRANSFER,14,MV-03081
2082-01-02,FG-509,ADJUSTMENT,13,MV-03082
2081-12-25,FG-205,OUT,122,MV-03083
2081-10-15,FG-509,ADJUSTMENT,77,MV-03084
2081-12-09,FG-205,OUT,75,MV-03085
2081-08-06,CONS-09,IN,148,MV-03086
2081-04-03,FG-509,TRANSFER,32,MV-03087
2081-05-03,WIP-101,OUT,111,MV-03088
2082-02-23,CONS-09,OUT,142,MV-03089
2082-01-03,FG-205,IN,157,MV-03090
2081-09-30,CONS-09,TRANSFER,46,MV-03091
2081-08-14,CONS-09,TRANSFER,96,MV-03092
2081-05-26,WIP-101,TRANSFER,109,MV-03093
2081-07-28,FG-302,TRANSFER,70,MV-03094
2082-02-26,WIP-101,TRANSFER,73,MV-03095
2082-02-14,FG-118,ADJUSTMENT,20,MV-03096
2081-10-26,FG-302,OUT,81,MV-03097
2082-01-13,FG-205,TRANSFER,171,MV-03098
2082-01-22,FG-302,TRANSFER,193,MV-03099
2081-05-04,RM-001,IN,133,MV-03100
2081-04-25,RM-014,IN,103,MV-03101
2081-06-15,FG-509,OUT,99,MV-03102
2081-12-07,FG-205,IN,34,MV-03103
2081-09-11,WIP-101,TRANSFER,158,MV-03104
2081-06-09,RM-014,TRANSFER,112,MV-03105
2081-07-21,FG-118,OUT,187,MV-03106
2081-05-12,CONS-09,TRANSFER,172,MV-03107
2081-11-12,CONS-09,TRANSFER,112,MV-03108
2081-05-12,FG-205,IN,194,MV-03109
2082-01-02,FG-205,OUT,158,MV-03110
2081-10-26,FG-118,ADJUSTMENT,50,MV-03111
2082-03-18,CONS-09,IN,70,MV-03112
2081-09-22,RM-027,TRANSFER,114,MV-03113
2081-06-28,RM-014,ADJUSTMENT,112,MV-03114
2081-08-11,RM-027,OUT,146,MV-03115
2081-06-23,CONS-09,IN,82,MV-03116
2082-03-13,FG-509,TRANSFER,155,MV-03117
2081-11-23,RM-014,IN,83,MV-03118
2082-02-28,FG-509,IN,175,MV-03119
2081-04-10,RM-014,OUT,18,MV-03120
2081-08-09,FG-118,ADJUSTMENT,188,MV-03121
2081-05-21,RM-001,OUT,70,MV-03122
2081-07-30,RM-014,TRANSFER,9,MV-03123
2082-02-23,RM-014,TRANSFER,108,MV-03124
2082-03-23,FG-302,IN,19,MV-03125
2081-10-08,RM-001,TRANSFER,171,MV-03126
2082-01-29,FG-205,OUT,96,MV-03127
2081-11-07,WIP-101,ADJUSTMENT,105,MV-03128
2081-07-14,RM-001,OUT,37,MV-03129
2082-03-08,RM-014,TRANSFER,32,MV-03130
2081-07-11,FG-205,OUT,179,MV-03131
2081-09-07,FG-118,OUT,169,MV-03132
2082-02-07,FG-302,OUT,96,MV-03133
2082-01-17,RM-014,OUT,42,MV-03134
2082-03-25,FG-118,OUT,174,MV-03135
2081-10-22,FG-509,OUT,197,MV-03136
2081-07-07,FG-205,OUT,91,MV-03137
2081-11-18,CONS-09,IN,13,MV-03138
2081-12-09,RM-027,ADJUSTMENT,29,MV-03139
2081-09-14,RM-001,OUT,145,MV-03140
2081-11-15,RM-027,OUT,87,MV-03141
2081-07-29,FG-509,TRANSFER,133,MV-03142
2081-09-19,FG-205,IN,41,MV-03143
2081-11-21,RM-001,ADJUSTMENT,75,MV-03144
2081-07-07,RM-027,TRANSFER,80,MV-03145
2081-04-29,RM-001,IN,53,MV-03146
2081-12-28,FG-205,ADJUSTMENT,18,MV-03147
2082-01-14,RM-014,IN,39,MV-03148
2081-10-28,FG-205,TRANSFER,28,MV-03149
